id_kursus,judul,link,penyelenggara,kategori,instruktor,level,rating,biaya,deskripsi
1,Marketing Introduction,https://myskill.id/course/marketing-introduction,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.66,Berbayar,Dalam materi ini kamu akan belajar secara dasar dalam melakukan penempatan btrand. Kamu juga akan diberi pemahaman betapa pentingnya penempatan brand kepada konsumen kamu untuk meningkatkan daya tarik pada brand kamu. Serta kamu juga akan mempelajari bagaimana cara untuk membuat penempatan brand yang kuat dalam memastikan efektivitas pasar.
2,Branding Introduction,https://myskill.id/course/branding-introduction,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.61,Berbayar,"Dalam materi ini kamu akan mempelajari prinsip-prinsip dasar untuk melakukan branding suatu produk yang kamu miliki. Kamu juga akan diberi pemahaman tentang pentingnya sebuah merek melalui komponen-komponen dari Brand Equity agar bisa kamu aplikasikan pada produk yang kamu miliki. Selain itu, kamu juga akan mempelajari cara untuk mengembangkan brand produk melalui pendekatan fisik dan mental sehingga dapat meningkatkan efektivitas strategi pemasaran yang kamu lakukan."
3,Brand Positioning Introduction,https://myskill.id/course/brand-positioning-introduction,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.6,Berbayar,"Dalam materi ini, kamu akan mempelajari konsep dasar dalam pemasaran dan berbagai unsur yang terkait. Selanjutnya, kamu juga mempelajari tentang Marketing Mix, Analisis SWOT, 4C Diamond, dan juga merancang startegi suatu pemasaran secara lebih mendalam."
4,Finding the Brand Benefit,https://myskill.id/course/finding-brand-benefit,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.61,Berbayar,"Dalam materi kali ini, kamu akan mempelajari tentang cara menilai dan mengevaluasi marketing materials yang menjadi ujung tombak dari komunikasi pemasaran. Hal ini untuk memastikan bahwa konten dan material yang disampaikan kepada audiens bisa dipahami dan mendukung tujuan dari pemasaran."
5,Consumer & Audience Insight,https://myskill.id/course/consumer-audience-insight,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.6,Berbayar,"Materi kali ini akan membahas mengenai ""Creative Brief and Briefing Process"" seperti prinsip pada creative brief hingga guideline dalam creative brief."
6,Content Marketing,https://myskill.id/course/content-marketing,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.64,Berbayar,Mempelajari dasar-dasar dalam membuat media pemasaran dan kampanye media sosial. Kamu akan diperkenalkan dengan berbagai macam kampanye media sosial untuk meningkatkan pemasaran. Kamu akan mempelajari cara menentukan metode kampanye yang cocok untuk produk yang kamu miliki sehingga ketertarikan konsumen dapat meningkat.
7,Campaign & Media Planning,https://myskill.id/course/campaign-planning,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.62,Berbayar,Kamu akan mempelajari beberapa hal penting terkait content marketing pada materi kali ini. Mulai dari prinsip pada content markeiting hingga strategi-strategi yang dapat dilakukan untuk memaksimalkan content marketing
8,Creative Brief and Briefing Process,https://myskill.id/course/creative-brief-and-briefing-process,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.63,Berbayar,"Di materi ini, kamu akan mempelajari persona yang dimiliki oleh konsumen untuk membuat strategi pemasaran. Kemudian dilanjut dengan strategi untuk memahami kebutuhan dan keinginan konsumen. Sehingga, kamu dapat mengerti kebutuhan konsumen dan memasarkan brand dengan tepat."
9,Assessing Marketing Materials,https://myskill.id/course/assessing-marketing-materials,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.61,Berbayar,Mempelajari cara menemukan keuntungan produk bagi calon konsumen. Kamu akan mempelajari pola pikir konsumen dalam menentukan dan memilih brand berdasarkan keuntungan yang diperoleh. Dengan mempelajari hal ini Kamu dapat memetakan keuntungan produk yang kamu miliki untuk meningkatkan efisiensi pemasaran yang Kamu lakukan.
10,Creating Integrated Marketing Plan,https://myskill.id/course/integrated-marketing-plan,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.61,Berbayar,Mempelajari dasar dalam melakukan penempatan brand. Kamu akan mempelajari pentingnya penempatan brand kepada konsumen kamu untuk meningkatkan ketertarikan terhadap brand kamu. Kamu juga akan mempelajari cara untuk membuat penempatan brand yang kuat untuk memastikan efektivitas pemasaran.
11,Brand & Creative Strategy,https://myskill.id/course/creating-brand-positioning,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.65,Berbayar,Mempelajari dasar-dasar dalam melakukan branding produk yang kamu punya. Kamu akan dibuat untuk memahami nilai sebuah brand melalui elemen-elemen dari Brand Equity agar dapat diterapkan kepada produk kamu. Kamu akan mempelajari cara untuk mengembangkan brand produk melalui pendekatan fisik dan mental sehingga dapat meningkatkan efektivitas pemasaran yang kamu lakukan.
12,Brand Campaign Touchpoints,https://myskill.id/course/brand-campaign-touchpoints,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.7,Berbayar,Dalam materi ini kamu akan mempelajari dasar pengetahuan mengenai Marketing dan analisa unsur yang mempengaruhinya. Kamu akan mempelajari mengenai mengenai dasar-dasar Marketing Mix dan cara memulai marketing sehingga dapat membantu kamu dalam melakukan eksekusi marketing yang dapat menghasilkan keuntungan. Kemudian kamu akan mempelajari unsur-unsur yang mempengaruhi Marketing dan analisa SWOT sehingga kamu dapat meningkatkan efektifitas pemasaran Anda.
13,Campaign Fundamentals,https://myskill.id/course/campaign-fundamentals,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.7,Berbayar,"Pada mater ini, akan disajikan informasi-informasi dasar dari campaign. Mulai dari perkenalan campaign, tipe-tipe dari campaign, hingga campaign framework."
14,Market Research & Objective,https://myskill.id/course/market-research-and-objective,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.65,Berbayar,Materi ini akan menjelaskan mengenai marketing research dan marketing objective untuk membuat strategi marketing yang tepat.
15,Target Market Mapping,https://myskill.id/course/target-market-mapping,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.68,Berbayar,"Dalam suatu bisnis, 'consumer is the hero'. Maka dari itu, materi ini akan menjelaskan mengenai audience segmentation, behaviour, dan pain point agar marketer dapat membangun target market yang sesuai."
16,How to Ideate: Creative Strategy/Brief,https://myskill.id/course/ideate-creative-strategy-brief,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.6,Berbayar,"Di era digital ini, sangat sering terjadi adanya tren. Materi ini akan menyajikan pemahaman mengenai tren lebih jauh dan langkah-langkah agar suatu brand dapat 'ride the wave' menggunakan cara yang tetap relevan dengan brand yang kita miliki."
17,Media Fundamentals,https://myskill.id/course/media-fundamentals,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.61,Berbayar,"Media merupakan saluran komunikasi. Dalam materi ini, akan terdapat macam-macam bentuk dari media beserta penjelasannya."
18,Paid Content Marketing,https://myskill.id/course/paid-content-marketing,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.54,Berbayar,"Materi ini akan menyajikan penjelasan mengenai content marketing. Selain itu, kita juga akan belajar cara mengembangkan konten yang sesuai dan membangun content strategy yang efektif."
19,Funnelling & Media Planning,https://myskill.id/course/funnelling-and-media-planning,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.55,Berbayar,"Melalui materi ini, kita akan belajar mengenai dasar-dasar funnelling beserta kegunaannya. Lebih lanjut, kita juga akan mengetahui media mana yang paling baik untuk melakukan funnelling. Di akhir materi, akan dijelaskan cara-cara merancang media untuk menjawab funnel dengan tepat."
