id_kursus,judul,link,link_gambar,penyelenggara,kategori,instruktor,level,rating,biaya,deskripsi,judul similiar
1,Marketing Introduction,https://myskill.id/course/marketing-introduction,https://image.myskill.id/elearning-poster/a63yCIKTjKsnrPHumHqv/thumbnail.png,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.66,Berbayar,Dalam materi ini kamu akan belajar secara dasar dalam melakukan penempatan btrand. Kamu juga akan diberi pemahaman betapa pentingnya penempatan brand kepada konsumen kamu untuk meningkatkan daya tarik pada brand kamu. Serta kamu juga akan mempelajari bagaimana cara untuk membuat penempatan brand yang kuat dalam memastikan efektivitas pasar.,"['Introduction to Digital Marketing', 'Branding Introduction', 'Content Marketing', 'Marketing Business Metrics', 'Introduction to FinTech']"
2,Branding Introduction,https://myskill.id/course/branding-introduction,https://image.myskill.id/elearning-poster/H9iOsPbDNyJTn6aU8tK8/thumbnail.png,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.61,Berbayar,"Dalam materi ini kamu akan mempelajari prinsip-prinsip dasar untuk melakukan branding suatu produk yang kamu miliki. Kamu juga akan diberi pemahaman tentang pentingnya sebuah merek melalui komponen-komponen dari Brand Equity agar bisa kamu aplikasikan pada produk yang kamu miliki. Selain itu, kamu juga akan mempelajari cara untuk mengembangkan brand produk melalui pendekatan fisik dan mental sehingga dapat meningkatkan efektivitas strategi pemasaran yang kamu lakukan.","['Brand Positioning Introduction', 'Marketing Introduction', 'Brand Identity Design', 'Introduction to Typography', 'Introduction To Graphic Design']"
3,Brand Positioning Introduction,https://myskill.id/course/brand-positioning-introduction,https://image.myskill.id/elearning-poster/nejKrWNrDqUJuu1VJQSN/thumbnail.png,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.6,Berbayar,"Dalam materi ini, kamu akan mempelajari konsep dasar dalam pemasaran dan berbagai unsur yang terkait. Selanjutnya, kamu juga mempelajari tentang Marketing Mix, Analisis SWOT, 4C Diamond, dan juga merancang startegi suatu pemasaran secara lebih mendalam","['Branding Introduction', 'Marketing Introduction', 'Brand Guideline Design', 'Brand Identity Design', 'Introduction to Typography']"
4,Finding the Brand Benefit,https://myskill.id/course/finding-brand-benefit,https://image.myskill.id/elearning-poster/DF2V4M1iuHTicMs5utT4/thumbnail.png,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.61,Berbayar,"Dalam materi kali ini, kamu akan mempelajari tentang cara menilai dan mengevaluasi marketing materials yang menjadi ujung tombak dari komunikasi pemasaran. Hal ini untuk memastikan bahwa konten dan material yang disampaikan kepada audiens bisa dipahami dan mendukung tujuan dari pemasaran.","['Brand Identity Design', 'Designing Brand Identity', 'Brand Positioning Introduction', 'Brand Guideline Design', 'Branding Introduction']"
5,Consumer & Audience Insight,https://myskill.id/course/consumer-audience-insight,https://image.myskill.id/elearning-poster/RVztzLfcDHdQorCm2N2j/thumbnail.png,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.6,Berbayar,"Materi kali ini akan membahas mengenai ""Creative Brief and Briefing Process"" seperti prinsip pada creative brief hingga guideline dalam creative brief.","['Public Speaking', 'Behavioral Economics andPublic Policy', 'Academic and BusinessWriting', 'Market Research & Objective', 'Pemasaran Media Sosial: Strategi dan Pengoptimalan']"
6,Content Marketing,https://myskill.id/course/content-marketing,https://image.myskill.id/elearning-poster/pk2pWwkhyKunebhiEdRD/thumbnail.png,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.64,Berbayar,Mempelajari dasar-dasar dalam membuat media pemasaran dan kampanye media sosial. Kamu akan diperkenalkan dengan berbagai macam kampanye media sosial untuk meningkatkan pemasaran. Kamu akan mempelajari cara menentukan metode kampanye yang cocok untuk produk yang kamu miliki sehingga ketertarikan konsumen dapat meningkat.,"['Paid Content Marketing', 'The Strategy of Content Marketing', 'Dasar-Dasar Pemasaran Digital', 'Dasar-Dasar Pemasaran Media Sosial', 'Introduction to Digital Marketing']"
7,Campaign & Media Planning,https://myskill.id/course/campaign-planning,https://image.myskill.id/elearning-poster/acDJJHZxsC8mtGVn9isQ/thumbnail.png,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.62,Berbayar,Kamu akan mempelajari beberapa hal penting terkait content marketing pada materi kali ini. Mulai dari prinsip pada content markeiting hingga strategi-strategi yang dapat dilakukan untuk memaksimalkan content marketing,"['Funnelling & Media Planning', 'Creating Campaign Planning', 'Preparing Your Career as Campaign Planner', 'Campaign Monitoring & Optimization', 'Brand Campaign Touchpoints']"
8,Creative Brief and Briefing Process,https://myskill.id/course/creative-brief-and-briefing-process,https://image.myskill.id/elearning-poster/EWzXHkVBtZbXIuONDVyD/thumbnail.png,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.63,Berbayar,"Di materi ini, kamu akan mempelajari persona yang dimiliki oleh konsumen untuk membuat strategi pemasaran. Kemudian dilanjut dengan strategi untuk memahami kebutuhan dan keinginan konsumen. Sehingga, kamu dapat mengerti kebutuhan konsumen dan memasarkan brand dengan tepat.","['Creative Brief', 'Tips dan Trik Visualisasi Data', 'Creativity and Creative Block', 'Academic and BusinessWriting', 'Introduction to PersonalFinancial Planning']"
9,Assessing Marketing Materials,https://myskill.id/course/assessing-marketing-materials,https://image.myskill.id/elearning-poster/xVRkLvcWQoZmHduroXyN/thumbnail.png,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.61,Berbayar,Mempelajari cara menemukan keuntungan produk bagi calon konsumen. Kamu akan mempelajari pola pikir konsumen dalam menentukan dan memilih brand berdasarkan keuntungan yang diperoleh. Dengan mempelajari hal ini Kamu dapat memetakan keuntungan produk yang kamu miliki untuk meningkatkan efisiensi pemasaran yang Kamu lakukan.,"['Content Marketing', 'Paid Content Marketing', 'Marketing Business Metrics', 'Marketing Analytics: Experiment & Evaluation', 'Marketing Introduction']"
10,Creating Integrated Marketing Plan,https://myskill.id/course/integrated-marketing-plan,https://image.myskill.id/elearning-poster/nTVd1qxsZ7QeTYv2zuFN/thumbnail.png,Myskill,Digital Marketing,Ryan Dwana,Beginner ,4.61,Berbayar,Mempelajari dasar dalam melakukan penempatan brand. Kamu akan mempelajari pentingnya penempatan brand kepada konsumen kamu untuk meningkatkan ketertarikan terhadap brand kamu. Kamu juga akan mempelajari cara untuk membuat penempatan brand yang kuat untuk memastikan efektivitas pemasaran.,"['Creating Campaign Planning', 'Marketing Introduction', 'Marketing Business Metrics', 'Strategi Memulai Digital Marketing dari Awal', 'Dasar-Dasar Pemasaran Digital']"
