id,created_at,title,link,organizer,category,instructor,level,rating,fee,description,image
1,2023-12-16 16:47:23.175286+00,"¡Luces, celular y acción!Crea contenidosaudiovisuales de impacto",https://www.edx.org/learn/marketing/pontificia-universidad-javeriana-comunicacion-audiovisual-desde-tu-smartphone,Pontificia Universidad Javeriana,Communication,,Introductory,,,"Smartphone Operation, Value Propositions, Marketing, Data Science, Economics, Communications",https://prod-discovery.edx-cdn.org/media/course/image/0a6c0bb2-2d18-42d7-8862-1dc6759e8941-fd0b260a20e5.small.png
2,2023-12-16 16:47:23.175286+00,3D CAD Fundamental,https://www.coursera.org/learn/3d-cad-fundamental,Coursera,Graphic Design,康仕仲,,4.7,Gratis,"There have many three-dimensional shape of the object in your brain that are wanted to share, but do not know how to express? How to ""sketch"" the three-dimensional image in your mind? 3D modeling technology can help us construct the most intuitive and understandable three-dimensional model. The use of floor plan interpret the three-dimensional object process－the most direct and effective expression of our ideas. We have designed many paradigms so that people can quickly understand the logic of using 3D CAD software Sketchup and drawing skills, from introduction to advanced, and introduce SketchUp 3D modeling technologies. After completing ""3D CAD Fundamental"", it is no longer difficult to draw ideas that are beyond imagination with 3D modeling technology! The goal of this course is to construct a three-dimensional model, with the computer as the main teaching material, to enrich the fun paradigm and the complete drawing process. Step-by-step teach you how to use Sketchup's 3D modeling software technology. With the completion of ""3D CAD Fundamental"", you will be able to realize the 3D objects that exist in the imagination through 3D modeling!",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/2b/a4b0a0e46611e79df425420284134a/logo-01.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265
3,2023-12-16 16:47:23.175286+00,A Fun Collage - with 30+ Examples,https://www.udemy.com/course/5-minute-collage/,Udemy,Graphic Design,Mike Merkur,,4.0,Gratis,How to Put Together a Photo CollageHow to use the awesome LOGOMAKR programOrganizing Lots of Screenshots of Famous PeopleWorking with Title and Icon Designs,https://img-b.udemycdn.com/course/240x135/3569599_b88d.jpg
4,2023-12-16 16:47:23.175286+00,A travel by SpanishAmerica: Spanish forbeginners,https://www.edx.org/learn/spanish/universidad-del-rosario-a-travel-by-spanish-america-spanish-for-beginners,Universidad del Rosario,Language,,Introductory,,,Spanish Language,https://prod-discovery.edx-cdn.org/media/course/image/cbe977ab-e20f-4909-982f-715d81fc9d90-3ed0c99ec351.small.jpeg
5,2023-12-16 16:47:23.175286+00,Academic and BusinessWriting,https://www.edx.org/learn/writing/university-of-california-berkeley-academic-and-business-writing,"University of California, Berkeley",Communication,,Introductory,,,"Diction, Business Writing, Writing, Vocabulary Development, Editing, Vocabulary, English Language, Grammar",https://prod-discovery.edx-cdn.org/media/course/image/ed682cf1-7c11-4417-ac78-e940843cfccc-bb93707c5457.small.jpg
6,2023-12-16 16:47:23.175286+00,Academic English: How toWrite an Essay,https://www.edx.org/learn/professional-writing/the-university-of-queensland-academic-english-how-to-write-an-essay,The University of Queensland,Communication,,Introductory,,,"Planning, Academic Writing, Research, Editing",https://prod-discovery.edx-cdn.org/media/course/image/94460a36-8f6c-4e50-82cd-47aab6996952-258273a5d881.small.jpeg
7,2023-12-16 16:47:23.175286+00,Administración pública yfiscal: cómo se gestionaun gobierno,https://www.edx.org/learn/government/inter-american-development-bank-administracion-publica-y-fiscal-como-se-gestiona-un-gobierno,Inter-American Development Bank,Economics & Finance,,Introductory,,,Public Administration,https://prod-discovery.edx-cdn.org/media/course/image/e4f36ec0-b44d-491c-af73-5963d5068242-8cb79ed772f0.small.jpg
8,2023-12-16 16:47:23.175286+00,Adobe Illustrator-CC Logo & Graphic Design Crash Course,https://www.udemy.com/course/graphicdesign_crashcourse/,Udemy,Graphic Design,Rahsaan Boone,,3.8,Gratis,Logo creationfont creationvector artGraphic design basics,https://img-b.udemycdn.com/course/240x135/4000896_f50d_2.jpg
9,2023-12-16 16:47:23.175286+00,Adobe Photoshop Introduction,https://myskill.id/course/adobe-photoshop-introduction,Myskill,Graphic Design,"Pramono Hadi Sigit ",,4.49,Berbayar,"Pada materi ini kita akan Mengenal Adobe Photoshop yang membahas mengenai Photoshop Setup, Bagaimana membuat dokumen baru,Workspace dan juga Navigasi. Dengan mempelajari materi ini di harapkan bara peserta mengetahui bagaimana cara atau tools apa saja yang di gunakan untuk Adobe Photoshop",https://image.myskill.id/elearning-poster/bnEgcxS1Ufs0iE3E7j5G/thumbnail.png
10,2023-12-16 16:47:23.175286+00,Adobe Photoshop: Brush Tools,https://myskill.id/course/adobe-photoshop-brush-tools,Myskill,Graphic Design,"Pramono Hadi Sigit ",,4.6,Berbayar,Pada materi Brushes and Layers kita akan mempelajari Brush Tool dan juga Layers System. Dengan mempelajari materi ini di harapkan para peserta mengetahui tool yang di gunakan untuk Brush dan Layers dalam photoshop.,https://image.myskill.id/elearning-poster/Gt4pwxpKNPSRgTGTdFq3/thumbnail.png
